iter	Passed	Remaining
559	246391	141235
560	247223	141018
561	247681	140587
562	248210	140197
563	248576	139714
564	248926	139222
565	249329	138760
566	249722	138294
567	250138	137840
568	250546	137382
569	250934	136913
570	251307	136436
571	251676	135958
572	252080	135498
573	252450	135021
574	252820	134544
575	253203	134074
576	253569	133596
577	253966	133134
578	254310	132645
579	254654	132156
580	255012	131675
581	255401	131211
582	255798	130751
583	256154	130270
584	256487	129778
585	256828	129290
586	257145	128791
587	257497	128310
588	257837	127824
589	258146	127323
590	258489	126839
591	258849	126364
592	259217	125893
593	259584	125422
594	259974	124962
595	260358	124500
596	260727	124031
597	261115	123571
598	261442	123083
599	261800	122609
600	262217	122164
601	262546	121678
602	262882	121196
603	263228	120719
604	263567	120239
605	263913	119762
606	264256	119285
607	264587	118803
608	264904	118315
609	265268	117848
610	265621	117377
611	265953	116897
612	266304	116426
613	266656	115956
614	267036	115498
615	267330	115004
616	267713	114548
617	268117	114101
618	268458	113628
619	268777	113146
620	269103	112668
621	269455	112200
622	269801	111731
623	270174	111273
624	270486	110791
625	270859	110334
626	271240	109880
627	271567	109405
628	271907	108936
629	272240	108464
630	272564	107989
631	272952	107539
632	273296	107073
633	273654	106613
634	273998	106147
635	274304	105667
636	274643	105201
637	274988	104737
638	275311	104264
639	275680	103810
640	276029	103349
641	276379	102888
642	276742	102433
643	277111	101980
644	277593	101568
645	278107	101169
646	278441	100703
647	279263	100414
648	279626	99958
649	279948	99489
650	280664	99159
651	281026	98703
652	281411	98257
653	281717	97782
654	282100	97335
655	282537	96906
656	283124	96529
657	283695	96146
658	284267	95762
659	284848	95381
660	285571	95046
661	286103	94647
662	286813	94306
663	287585	93985
664	288039	93558
665	288450	93118
666	288868	92680
667	289299	92246
668	289619	91777
669	289930	91306
670	290200	90822
671	290499	90348
672	290865	89895
673	291175	89426
674	291489	88958
675	291806	88491
676	292124	88025
677	292399	87547
678	292719	87082
679	292995	86605
680	293285	86133
681	293548	85654
682	293853	85187
683	294149	84718
684	294471	84257
685	294787	83795
686	295101	83332
687	295645	82935
688	296128	82520
689	296817	82162
690	297851	81898
691	298773	81601
692	299179	81162
693	299531	80709
694	299920	80266
695	300317	79825
696	300941	79445
697	301957	79166
698	302758	78829
699	303625	78508
700	304248	78123
701	305056	77785
702	305688	77400
703	306500	77060
704	307149	76678
705	307754	76284
706	308184	75847
707	308572	75399
708	308884	74933
709	309207	74471
710	309487	73998
711	309794	73532
712	310083	73063
713	310421	72605
714	310755	72147
715	311057	71682
716	311365	71218
717	311636	70747
718	311891	70273
719	312139	69797
720	312443	69335
721	312719	68867
722	313080	68418
723	313463	67974
724	313912	67545
725	314417	67127
726	315151	66758
727	315502	66307
728	315968	65881
729	316313	65429
730	316597	64965
731	316914	64508
732	317230	64051
733	317718	63630
734	318060	63179
735	318468	62741
736	318761	62281
737	319119	61834
738	319661	61423
739	320141	61000
740	320446	60543
741	320775	60091
742	321109	59640
743	321527	59205
744	322019	58784
745	322559	58372
746	323229	57982
747	323660	57549
748	324079	57114
749	324434	56667
750	324771	56218
751	325103	55769
752	325464	55324
753	325891	54891
754	326219	54441
755	326530	53989
756	326850	53539
757	327167	53089
758	327470	52636
759	327806	52190
760	328117	51740
761	328421	51288
762	328728	50838
763	329018	50386
764	329310	49934
765	329634	49488
766	330010	49049
767	330334	48603
768	330679	48161
769	330986	47713
770	331287	47265
771	331602	46819
772	331958	46379
773	332301	45938
774	332633	45495
775	333022	45060
776	333316	44613
777	333624	44168
778	333948	43726
779	334290	43286
780	334688	42853
781	335011	42411
782	335369	41974
783	335732	41538
784	336068	41098
785	336345	40652
786	336618	40205
787	336933	39765
788	337215	39320
789	337531	38880
790	337947	38451
791	338363	38023
792	338789	37595
793	339548	37204
794	340071	36787
795	340628	36373
796	341174	35958
797	341625	35532
798	342489	35149
799	342963	34725
800	343654	34322
801	344060	33891
802	344339	33447
